Time,Speed
347400.0,13.7
348000.0,17.0
348600.0,14.1
349200.0,14.7
349800.0,13.1
350400.0,15.0
351000.0,15.9
351600.0,16.5
352200.0,16.5
352800.0,15.5
353400.0,16.2
354000.0,16.5
354600.0,15.7
355200.0,16.7
355800.0,16.4
356400.0,17.4
357000.0,16.2
357600.0,17.2
358200.0,18.3
358800.0,19.4
359400.0,20.2
360000.0,18.5
360600.0,18.5
361200.0,20.9
361800.0,25.8
362400.0,22.5
363000.0,22.8
363600.0,22.6
364200.0,22.5
364800.0,20.0
365400.0,14.8
366000.0,14.3
366600.0,15.8
367200.0,16.1
367800.0,14.4
368400.0,12.5
369000.0,12.0
369600.0,11.7
370200.0,11.3
370800.0,12.3
371400.0,12.3
372000.0,12.2
372600.0,11.5
373200.0,11.0
373800.0,10.3
374400.0,11.7
375000.0,11.8
375600.0,12.3
376200.0,12.8
376800.0,9.0
377400.0,4.1
378000.0,3.6
378600.0,10.6
379200.0,9.6
379800.0,9.4
380400.0,8.6
381000.0,8.5
381600.0,8.3
382200.0,8.7
382800.0,9.0
383400.0,8.9
384000.0,8.9
384600.0,9.5
385200.0,8.7
385800.0,8.3
386400.0,7.5
387000.0,7.8
387600.0,9.0
388200.0,10.2
388800.0,10.3
389400.0,9.1
390000.0,9.3
390600.0,8.2
391200.0,7.9
391800.0,7.7
392400.0,8.6
393000.0,8.9
393600.0,9.3
394200.0,8.5
394800.0,8.2
395400.0,8.6
396000.0,8.0
396600.0,8.7
397200.0,8.8
397800.0,8.3
398400.0,7.8
399000.0,9.1
399600.0,8.4
400200.0,6.9
400800.0,6.9
401400.0,7.8
402000.0,8.1
402600.0,7.9
403200.0,8.5
403800.0,8.5
404400.0,8.2
405000.0,9.8
405600.0,9.8
406200.0,10.1
406800.0,9.5
407400.0,10.1
408000.0,10.4
408600.0,13.3
409200.0,13.0
409800.0,14.0
410400.0,14.0
411000.0,14.3
411600.0,14.9
412200.0,16.0
412800.0,17.7
413400.0,16.9
414000.0,17.0
414600.0,17.8
415200.0,17.1
415800.0,18.7
416400.0,18.9
417000.0,22.0
417600.0,20.0
418200.0,21.0
418800.0,22.2
419400.0,21.2
420000.0,21.7
420600.0,25.7
421200.0,28.1
421800.0,26.4
422400.0,25.3
423000.0,26.6
423600.0,25.2
424200.0,24.9
424800.0,28.6
425400.0,26.9
426000.0,26.4
426600.0,27.0
427200.0,26.0
427800.0,26.6
428400.0,25.2
429000.0,26.0
429600.0,26.5
430200.0,26.8
430800.0,23.7
431400.0,27.9
432000.0,24.5
432600.0,24.8
433200.0,23.7
433800.0,26.0
434400.0,23.5
435000.0,23.1
435600.0,23.0
436200.0,23.2
436800.0,24.0
437400.0,23.7
438000.0,24.3
438600.0,22.8
439200.0,21.5
439800.0,22.2
440400.0,22.5
441000.0,21.8
441600.0,22.0
442200.0,23.2
442800.0,21.8
443400.0,20.1
444000.0,22.5
444600.0,20.3
445200.0,22.7
445800.0,20.7
446400.0,20.5
447000.0,18.1
447600.0,16.9
448200.0,17.3
448800.0,17.7
449400.0,14.8
450000.0,13.5
450600.0,10.3
451200.0,10.0
451800.0,10.4
452400.0,8.2
453000.0,7.7
453600.0,8.3
454200.0,8.3
454800.0,6.6
455400.0,8.5
456000.0,7.9
456600.0,7.5
457200.0,5.1
457800.0,3.7
458400.0,3.1
459000.0,3.7
459600.0,4.8
460200.0,4.7
460800.0,4.1
461400.0,3.7
462000.0,3.2
462600.0,2.3
463200.0,2.3
463800.0,2.8
464400.0,2.9
465000.0,3.3
465600.0,3.1
466200.0,3.9
466800.0,3.8
467400.0,4.2
468000.0,5.4
468600.0,5.4
469200.0,6.4
469800.0,7.0
470400.0,7.1
471000.0,7.7
471600.0,8.8
472200.0,9.4
472800.0,9.3
473400.0,8.3
474000.0,7.7
474600.0,7.5
475200.0,5.3
475800.0,4.0
476400.0,4.4
477000.0,2.6
477600.0,2.4
478200.0,3.9
478800.0,2.5
479400.0,5.3
480000.0,8.9
480600.0,6.7
481200.0,6.0
481800.0,4.8
482400.0,1.5
483000.0,3.0
483600.0,4.1
484200.0,0.9
484800.0,2.4
485400.0,6.8
486000.0,6.0
486600.0,6.2
487200.0,8.2
487800.0,6.2
488400.0,5.2
489000.0,2.2
489600.0,1.2
490200.0,4.6
490800.0,3.5
491400.0,3.1
492000.0,1.9
492600.0,2.8
493200.0,3.3
493800.0,3.1
494400.0,4.5
495000.0,5.7
495600.0,5.2
496200.0,3.9
496800.0,3.9
497400.0,6.1
498000.0,6.3
498600.0,5.7
499200.0,6.0
499800.0,6.3
500400.0,6.7
501000.0,5.8
501600.0,6.6
502200.0,5.6
502800.0,4.3
503400.0,3.1
504000.0,2.7
504600.0,4.2
505200.0,3.5
505800.0,3.9
506400.0,3.5
507000.0,3.4
507600.0,4.1
508200.0,5.0
508800.0,5.2
509400.0,3.2
510000.0,5.3
510600.0,4.0
511200.0,3.1
511800.0,3.3
512400.0,4.9
513000.0,5.4
513600.0,5.9
514200.0,5.3
514800.0,3.8
515400.0,7.5
516000.0,7.5
516600.0,9.7
517200.0,10.4
517800.0,7.7
518400.0,6.1
519000.0,5.6
519600.0,5.5
520200.0,6.2
520800.0,6.1
521400.0,6.7
522000.0,8.1
522600.0,7.8
523200.0,7.2
523800.0,9.8
524400.0,11.8
525000.0,17.8
525600.0,21.6
526200.0,17.7
526800.0,12.7
527400.0,12.7
528000.0,10.7
528600.0,7.8
529200.0,5.2
529800.0,2.6
530400.0,6.4
531000.0,5.8
531600.0,3.9
532200.0,1.7
532800.0,0.0
533400.0,0.0
534000.0,1.0
534600.0,1.3
535200.0,3.8
535800.0,5.6
536400.0,4.9
537000.0,5.5
537600.0,4.0
538200.0,4.3
538800.0,3.0
539400.0,2.6
540000.0,3.6
540600.0,5.9
541200.0,6.6
541800.0,4.9
542400.0,3.7
543000.0,4.4
543600.0,5.3
544200.0,6.3
544800.0,4.3
545400.0,4.0
546000.0,4.3
546600.0,4.0
547200.0,5.2
547800.0,6.3
548400.0,6.4
549000.0,7.3
549600.0,7.1
550200.0,7.3
550800.0,8.8
551400.0,9.7
552000.0,8.3
552600.0,4.6
553200.0,2.1
553800.0,4.2
554400.0,6.6
555000.0,5.5
555600.0,2.4
556200.0,4.0
556800.0,1.8
557400.0,3.0
558000.0,5.7
558600.0,6.4
559200.0,5.2
559800.0,7.6
560400.0,10.1
561000.0,11.8
561600.0,12.1
562200.0,11.0
562800.0,9.2
563400.0,10.1
564000.0,9.3
564600.0,9.1
565200.0,10.3
565800.0,11.4
566400.0,11.7
567000.0,13.1
567600.0,13.7
568200.0,11.5
568800.0,12.4
569400.0,13.4
570000.0,13.9
570600.0,13.4
571200.0,10.4
571800.0,7.5
572400.0,8.1
573000.0,7.5
573600.0,4.4
574200.0,6.6
574800.0,7.7
575400.0,9.1
576000.0,10.5
576600.0,13.6
577200.0,14.2
577800.0,11.2
578400.0,10.0
579000.0,11.0
579600.0,13.9
580200.0,14.8
580800.0,14.3
581400.0,15.2
582000.0,16.6
582600.0,17.2
583200.0,17.4
583800.0,17.2
584400.0,16.4
585000.0,14.0
585600.0,9.2
586200.0,5.3
586800.0,6.8
587400.0,8.0
588000.0,8.6
588600.0,7.7
589200.0,9.4
589800.0,10.4
590400.0,9.2
591000.0,9.1
591600.0,9.4
592200.0,12.2
592800.0,13.6
593400.0,14.9
594000.0,16.3
594600.0,16.2
595200.0,14.5
595800.0,13.9
596400.0,14.6
597000.0,16.1
597600.0,17.0
598200.0,17.5
598800.0,14.5
599400.0,13.5
600000.0,12.5
600600.0,13.5
601200.0,13.5
601800.0,15.9
602400.0,14.1
603000.0,14.6
603600.0,16.0
604200.0,17.9
604800.0,16.4
605400.0,15.9
606000.0,18.0
606600.0,16.8
607200.0,15.8
607800.0,15.5
608400.0,16.2
609000.0,15.1
609600.0,16.3
610200.0,18.6
610800.0,18.3
611400.0,16.3
612000.0,17.5
612600.0,15.9
613200.0,15.9
613800.0,14.8
614400.0,15.6
615000.0,16.9
615600.0,15.8
616200.0,18.0
616800.0,17.6
617400.0,15.5
618000.0,16.3
618600.0,16.3
619200.0,15.6
619800.0,14.1
620400.0,14.8
621000.0,14.4
621600.0,13.4
622200.0,13.0
622800.0,13.1
623400.0,12.8
624000.0,12.8
624600.0,12.5
625200.0,13.8
625800.0,14.0
626400.0,13.0
627000.0,13.5
627600.0,13.4
628200.0,13.3
628800.0,14.0
629400.0,13.9
630000.0,13.6
630600.0,13.8
631200.0,15.6
631800.0,16.5
632400.0,16.1
633000.0,15.6
633600.0,15.6
634200.0,15.8
634800.0,16.1
635400.0,16.2
636000.0,16.1
636600.0,16.4
637200.0,17.6
637800.0,16.4
638400.0,17.2
639000.0,16.8
639600.0,17.2
640200.0,16.6
640800.0,16.6
641400.0,16.2
642000.0,16.1
642600.0,15.9
643200.0,16.8
643800.0,15.8
644400.0,16.2
645000.0,17.4
645600.0,16.8
646200.0,18.1
646800.0,18.6
647400.0,20.3
648000.0,20.9
648600.0,20.8
649200.0,20.6
649800.0,20.7
650400.0,23.3
651000.0,23.7
651600.0,23.9
652200.0,24.9
652800.0,24.4
653400.0,23.7
654000.0,23.0
654600.0,21.6
655200.0,21.9
655800.0,24.2
656400.0,22.2
657000.0,23.0
657600.0,21.8
658200.0,23.9
658800.0,26.1
659400.0,24.0
660000.0,24.4
660600.0,22.4
661200.0,22.1
661800.0,22.0
662400.0,22.9
663000.0,22.2
663600.0,23.2
664200.0,22.5
664800.0,20.5
665400.0,23.3
666000.0,20.4
666600.0,20.7
667200.0,20.0
667800.0,20.6
668400.0,19.5
669000.0,20.7
669600.0,19.9
670200.0,19.8
670800.0,20.9
671400.0,17.8
672000.0,19.1
672600.0,18.6
673200.0,18.1
673800.0,17.9
674400.0,16.1
675000.0,15.8
675600.0,16.6
676200.0,17.5
676800.0,16.4
677400.0,15.7
678000.0,16.4
678600.0,15.4
679200.0,15.8
679800.0,16.1
680400.0,16.9
681000.0,16.8
681600.0,15.0
682200.0,15.6
682800.0,16.3
683400.0,17.0
684000.0,17.6
684600.0,16.9
685200.0,17.5
685800.0,17.3
686400.0,16.6
687000.0,17.3
687600.0,16.3
688200.0,18.4
688800.0,18.2
689400.0,19.5
690000.0,20.0
690600.0,19.1
691200.0,14.4
691800.0,16.2
692400.0,15.4
693000.0,15.1
693600.0,14.3
694200.0,15.9
694800.0,15.4
695400.0,15.2
696000.0,14.1
696600.0,12.7
697200.0,14.7
697800.0,25.5
698400.0,31.1
699000.0,31.1
699600.0,31.5
700200.0,33.2
700800.0,31.3
701400.0,29.7
702000.0,29.7
702600.0,30.4
703200.0,28.4
703800.0,32.4
704400.0,30.4
705000.0,32.5
705600.0,31.0
706200.0,33.8
706800.0,30.0
707400.0,31.0
708000.0,32.9
708600.0,32.9
709200.0,35.5
709800.0,33.0
710400.0,33.9
711000.0,35.9
711600.0,36.2
712200.0,33.4
712800.0,38.0
713400.0,35.4
714000.0,36.1
714600.0,34.5
715200.0,32.1
715800.0,32.8
716400.0,29.7
717000.0,31.7
717600.0,32.3
718200.0,31.7
718800.0,31.4
719400.0,31.6
720000.0,33.0
